title,price
"APPLE iPhone 11 (White, 64 GB)","₹46,999"
"APPLE iPhone 11 (Black, 64 GB)","₹46,999"
"APPLE iPhone 11 (Purple, 128 GB)","₹54,900"
"APPLE iPhone 12 (Purple, 256 GB)","₹74,999"
"APPLE iPhone 11 (Red, 128 GB)","₹54,900"
"APPLE iPhone SE (Black, 64 GB)","₹30,499"
"APPLE iPhone 11 (Red, 64 GB)","₹46,999"
"APPLE iPhone 12 (Blue, 64 GB)","₹59,999" 
"APPLE iPhone 12 (Black, 256 GB)","₹74,999"
APPLE MacBook Air M1 - (16 GB/512 GB SSD/Mac OS Big Sur) Z124J006KD,"₹1,30,490"
APPLE 2022 MacBook Pro M2 - (8 GB/256 GB SSD/Mac OS Monterey) MNEH3HN/A,"₹1,29,900"
APPLE 2020 Macbook Air M1 - (8 GB/512 GB SSD/Mac OS Big Sur) MGN73HN/A,"₹1,12,990"
APPLE EarPods with Lightning Connector Wired Headset,"₹1,649"
"APPLE iPhone 11 (Purple, 64 GB)","₹46,999"
"APPLE iPhone 12 (Red, 64 GB)","₹59,999"
"APPLE iPhone 11 (Green, 128 GB)","₹54,900"
"APPLE iPhone 11 (Black, 128 GB)","₹54,900"
"APPLE iPhone 11 (Green, 64 GB)","₹46,999"
"APPLE iPhone 12 (White, 64 GB)","₹59,999"
"APPLE iPhone 11 (White, 128 GB)","₹54,900"
"APPLE iPhone 12 (Purple, 64 GB)","₹59,999"
"APPLE iPhone 13 Mini (Midnight, 128 GB)","₹64,999"
APPLE 2022 MacBook AIR M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,"₹1,19,900"
APPLE 2022 MacBook AIR M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXW3HN/A,"₹1,19,900"
