title,price
"APPLE iPhone 11 (White, 64 GB)","₹46,999"
"APPLE iPhone 11 (Black, 64 GB)","₹46,999"
"APPLE iPhone 11 (Purple, 128 GB)","₹54,900"
"APPLE iPhone 12 (Purple, 256 GB)","₹74,999"
"APPLE iPhone 11 (Red, 128 GB)","₹54,900"
"APPLE iPhone SE (Black, 64 GB)","₹30,499"
"APPLE iPhone 11 (Red, 64 GB)","₹46,999"
"APPLE iPhone 12 (Blue, 64 GB)","₹59,999"
"APPLE iPhone 11 (Purple, 64 GB)","₹46,999"
APPLE MacBook Air M1 - (16 GB/512 GB SSD/Mac OS Big Sur) Z124J006KD,"₹1,30,490"
APPLE 2022 MacBook Pro M2 - (8 GB/256 GB SSD/Mac OS Monterey) MNEH3HN/A,"₹1,29,900"
APPLE 2020 Macbook Air M1 - (8 GB/512 GB SSD/Mac OS Big Sur) MGN73HN/A,"₹1,12,990"
APPLE EarPods with Lightning Connector Wired Headset,"₹1,649"
"APPLE iPhone 12 (Black, 256 GB)","₹74,999"
"APPLE iPhone 12 (Red, 64 GB)","₹59,999"
"APPLE iPhone 11 (Green, 128 GB)","₹54,900"
"APPLE iPhone 11 (Black, 128 GB)","₹54,900"
"APPLE iPhone 11 (Green, 64 GB)","₹46,999"
"APPLE iPhone 12 (White, 64 GB)","₹59,999"
"APPLE iPhone 11 (White, 128 GB)","₹54,900"
"APPLE iPhone 12 (Purple, 64 GB)","₹59,999"
"APPLE iPhone 13 Mini (Midnight, 128 GB)","₹64,999"
APPLE 2022 MacBook AIR M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,"₹1,19,900"
APPLE 2022 MacBook AIR M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXW3HN/A,"₹1,19,900"
APPLE MacBook Air M1 - (16 GB/512 GB SSD/Mac OS Big Sur) Z124J002KD,"₹1,30,990"
APPLE 20 W 3 A Mobile MHJD3HN/A Charger,"₹1,699"
"APPLE iPhone 13 Mini (Midnight, 128 GB)","₹64,999"
"APPLE iPhone 13 (Midnight, 128 GB)","₹73,999"
"APPLE iPhone 13 Mini (Starlight, 128 GB)","₹64,999"
"APPLE iPhone 12 (Purple, 64 GB)","₹59,999"
"APPLE iPhone 13 Mini ((PRODUCT)RED, 128 GB)","₹64,999"
"APPLE iPhone SE (Red, 64 GB)","₹30,499"
"APPLE iPhone 12 (White, 256 GB)","₹74,999"
"APPLE iPhone 13 (Starlight, 128 GB)","₹73,999"
"APPLE iPhone 12 Mini (White, 128 GB)","₹55,179"
APPLE 2020 Macbook Pro M1 - (8 GB/512 GB SSD/Mac OS Big Sur) MYD92HN/A,"₹1,32,990"
APPLE 2021 Macbook Pro M1 Pro - (16 GB/512 GB SSD/Mac OS Monterey) MK183HN/A,"₹2,26,990"
APPLE MacBook Pro with Touch Bar Core i5 10th Gen - (16 GB/1 TB SSD/Mac OS Catalina) MWP52HN/A,"₹1,82,490"
APPLE Airpods Pro with MagSafe Charging Case Bluetooth Headset,"₹19,990"
"APPLE iPhone 13 Mini (Blue, 128 GB)","₹64,999"
"APPLE iPhone 13 (Blue, 128 GB)","₹73,999"
"APPLE iPhone 12 (Green, 128 GB)","₹64,999"
"APPLE iPhone SE (Red, 128 GB)","₹35,499"
"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹73,999"
"APPLE iPhone 12 (White, 128 GB)","₹64,999"
"APPLE iPhone 12 (Red, 128 GB)","₹64,999"
"APPLE iPhone SE (White, 256 GB)","₹45,099"
"APPLE iPhone SE (Black, 128 GB)","₹35,499"
APPLE 2022 MacBook AIR M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY43HN/A,"₹1,49,900"
APPLE 2022 MacBook AIR M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLXX3HN/A,"₹1,49,900"
APPLE 2020 Macbook Pro M1 - (8 GB/512 GB SSD/Mac OS Big Sur) MYDC2HN/A,"₹1,36,990"
Apple AirPods(2nd gen) with Charging Case Bluetooth Headset with Mic,"₹11,999"
